date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2025-05-01,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2025-05-01,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2025-04-25,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2025-04-18,(주)천호엔케어,DEER HORN,녹용,Deer velvet (dried),New Zealand,(주)천호엔케어,Chunho N Care,
2025-04-11,유진통상,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,유진통상,Yujin Trade,
2025-04-02,(주)바이오닷,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)바이오닷,Bio Dot,
2025-03-28,주식회사 비봉허브,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 비봉허브,Bibong Herb,
2025-03-26,주식회사 이룡제약,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,주식회사 이룡제약,Eryong Pharm.,
2025-03-17,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2025-03-13,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2025-03-12,주식회사 가온제약,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,주식회사 가온제약,GaOn Pharm,
2025-03-10,대호제약주식회사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,대호제약주식회사,Daeho Pharm.,
2025-03-07,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2025-03-05,록원,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,록원,Rokone,
2025-03-04,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2025-02-28,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2025-02-26,태안약업(주),DRIED RED DEER VELVET ANTLER(WHOLE),녹용,Deer velvet (dried),New Zealand,태안약업(주),Taeahn,
2025-02-25,유진통상,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),Russia,유진통상,Yujin Trade,
2025-02-18,(주)온누리바이오생약,DEER HORN,녹용,Deer velvet (dried),Russia,(주)온누리바이오생약,Onnuri Bio,
2025-02-18,향나바이오 주식회사,DEER HORN,녹용,Deer velvet (dried),Russia,향나바이오 주식회사,Hyangna Bio,
2025-02-18,(주)대원알디티,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),Russia,(주)대원알디티,DaeWon RTD,
2025-02-14,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2025-01-24,주식회사 유한건강생활,FROZEN WHOLE STICK VELVET,녹용,Deer velvet (frozen),New Zealand,주식회사 유한건강생활,Yuhan Care,
