date,series,hs_code,hs_label,value,unit,country,notes,hs_code_10digit,product_type
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",3575,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",138250,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-05,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",5000,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",589614,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",20322,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",1325855,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-06,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",160,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-07,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",65500,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
